food_name,diet_tags,mood_tags,allergens,best_time_to_eat,description
Pineapple milkshake (Ananas milkshake),Vegetarian,Tired & Anxious,Lactose / Dairy,Breakfast,Pineapple milkshake (Ananas milkshake) is suitable for a vegetarian diet and supports tired & anxious.
Orange milkshake (Narangi milkshake),Vegetarian,Tired & Anxious,Lactose / Dairy,Snack,Orange milkshake (Narangi milkshake) is suitable for a vegetarian diet and supports tired & anxious.
Egg nog,Keto,Stressed,Eggs,Lunch,Egg nog is suitable for a keto diet and supports neutral mood.
Sweet Lassi (Meethi lassi),"Vegan, Vegetarian",Depressed Mood,Lactose / Dairy,Dinner,Sweet Lassi (Meethi lassi) is suitable for a general diet and supports depressed mood.
Lassi (salted),"Vegan, Vegetarian",Depressed Mood,Lactose / Dairy,Snack,Lassi (salted) is suitable for a general diet and supports depressed mood.
Cheese and chilli sandwich ,Vegetarian,Happy,Lactose / Dairy,Snack,Cheese and chilli sandwich  is suitable for a vegetarian diet and supports neutral mood.
Egg sandwich (Ande ka sandwich),Keto,Energetic & Calm,Eggs,Lunch,Egg sandwich (Ande ka sandwich) is suitable for a keto diet and supports neutral mood.
Cucumber sandwich (Kheere ka sandwich),"Vegan, Vegetarian",Happy,None,Lunch,Cucumber sandwich (Kheere ka sandwich) is suitable for a general diet and supports happy.
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Vegetarian,Craving,Lactose / Dairy,Dinner,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich) is suitable for a vegetarian diet and supports neutral mood.
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Vegetarian,Happy,Lactose / Dairy,Lunch,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich) is suitable for a vegetarian diet and supports neutral mood.
Chicken sandwich,Keto,Depressed Mood,None,Breakfast,Chicken sandwich is suitable for a keto diet and supports neutral mood.
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),"Vegan, Vegetarian",Energetic & Calm,Nuts,Lunch,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich) is suitable for a general diet and supports neutral mood.
Rainbow sandwich,"Vegan, Vegetarian",Stressed,None,Dinner,Rainbow sandwich is suitable for a general diet and supports neutral mood.
Club sandwich ,"Vegan, Vegetarian",Stressed,None,Lunch,Club sandwich  is suitable for a general diet and supports neutral mood.
Vegetarian club sandwich,Vegetarian,Energetic & Calm,None,Lunch,Vegetarian club sandwich is suitable for a general diet and supports neutral mood.
Pin wheel sandwich,"Vegan, Vegetarian",Craving,None,Snack,Pin wheel sandwich is suitable for a general diet and supports neutral mood.
Carrot apple sandwich (Gajar aur seb ka sandwich),"Vegan, Vegetarian",Craving,None,Dinner,Carrot apple sandwich (Gajar aur seb ka sandwich) is suitable for a general diet and supports neutral mood.
Salami sandwich,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Salami sandwich is suitable for a general diet and supports neutral mood.
Vegetable and mayonnaise sandwich,Vegan,Balanced Mood,None,Snack,Vegetable and mayonnaise sandwich is suitable for a vegan diet and supports balanced mood.
Egg and tomato sandwich (Ande aur tamatar ka sandwich),Keto,Stressed,Eggs,Breakfast,Egg and tomato sandwich (Ande aur tamatar ka sandwich) is suitable for a keto diet and supports neutral mood.
Sweet open sandwich,"Vegan, Vegetarian",Craving,None,Lunch,Sweet open sandwich is suitable for a general diet and supports neutral mood.
Mushroom and cheese sandwich (toasted),Vegetarian,Depressed Mood,Lactose / Dairy,Dinner,Mushroom and cheese sandwich (toasted) is suitable for a vegetarian diet and supports neutral mood.
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Vegetarian,Stressed,Lactose / Dairy,Lunch,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)) is suitable for a vegetarian diet and supports neutral mood.
Pea potato sandwich (toasted) (Matar aloo ka sandwich),Vegetarian,Happy,None,Snack,Pea potato sandwich (toasted) (Matar aloo ka sandwich) is suitable for a vegetarian diet and supports neutral mood.
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),"Keto, Vegetarian",Craving,Lactose / Dairy,Breakfast,"Paneer pea sandwich (toasted) (Paneer matar ka sandwich) is suitable for a keto, vegetarian diet and supports neutral mood."
Chicken sandwich (toasted),Keto,Craving,None,Breakfast,Chicken sandwich (toasted) is suitable for a keto diet and supports neutral mood.
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Pea keema sandwich (toasted) (Matar aur keema ka sandwich) is suitable for a general diet and supports neutral mood.
Classic club sandwich,"Vegan, Vegetarian",Depressed Mood,Lactose / Dairy,Lunch,Classic club sandwich is suitable for a general diet and supports depressed mood.
Sesame toast,"Vegan, Vegetarian",Stressed,None,Dinner,Sesame toast is suitable for a general diet and supports neutral mood.
Cracked wheat porridge (Meetha daliya),"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner","Cracked wheat porridge (Meetha daliya) is suitable for a vegan, vegetarian diet and supports balanced mood."
Semolina porridge (Suji/Rava daliya),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Semolina porridge (Suji/Rava daliya) is suitable for a vegan, vegetarian diet and supports balanced mood."
Oatmeal Porridge,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Oatmeal Porridge is suitable for a general diet and supports neutral mood.
Cornflakes with milk,Vegetarian,Depressed Mood,Lactose / Dairy,Lunch,Cornflakes with milk is suitable for a vegetarian diet and supports neutral mood.
Rice flakes (Chiwda/Aval),Vegan,Balanced Mood,None,Lunch,Rice flakes (Chiwda/Aval) is suitable for a vegan diet and supports balanced mood.
Wheat flakes,"Vegan, Vegetarian",Energetic & Calm,Gluten,Breakfast,Wheat flakes is suitable for a general diet and supports neutral mood.
Murmura (Puffed rice),Vegan,Balanced Mood,None,Lunch,Murmura (Puffed rice) is suitable for a vegan diet and supports balanced mood.
Puffed wheat (Murmure/Moori),"Vegan, Vegetarian",Depressed Mood,Gluten,Dinner,Puffed wheat (Murmure/Moori) is suitable for a general diet and supports neutral mood.
Boiled egg (Ubla anda),Keto,Happy,Eggs,Lunch,Boiled egg (Ubla anda) is suitable for a keto diet and supports neutral mood.
Fried Egg ,Keto,Craving,Eggs,Snack,Fried Egg  is suitable for a keto diet and supports neutral mood.
Poached egg,Keto,Craving,Eggs,Dinner,Poached egg is suitable for a keto diet and supports neutral mood.
Scrambled egg (Ande ki bhurji),Keto,Stressed,Eggs,Lunch,Scrambled egg (Ande ki bhurji) is suitable for a keto diet and supports neutral mood.
Baked egg ,Keto,Energetic & Calm,Eggs,Breakfast,Baked egg  is suitable for a keto diet and supports neutral mood.
Plain omelette/omlet,"Vegan, Vegetarian",Happy,None,Breakfast,Plain omelette/omlet is suitable for a general diet and supports neutral mood.
Stuffed egg omelette/omlet,Keto,Stressed,Eggs,Breakfast,Stuffed egg omelette/omlet is suitable for a keto diet and supports neutral mood.
Pancake,"Vegan, Vegetarian",Craving,None,Dinner,Pancake is suitable for a general diet and supports neutral mood.
Keema pancake,"Vegan, Vegetarian",Happy,None,Breakfast,Keema pancake is suitable for a general diet and supports neutral mood.
Vegetable pancake,Vegan,Balanced Mood,None,Dinner,Vegetable pancake is suitable for a vegan diet and supports balanced mood.
Jam and fruit pancake,Vegan,Depressed Mood,None,Breakfast,Jam and fruit pancake is suitable for a vegan diet and supports depressed mood.
Khoa and coconut pancake,"Vegan, Vegetarian",Stressed,None,Snack,Khoa and coconut pancake is suitable for a general diet and supports neutral mood.
Brown stock,"Vegan, Vegetarian",Depressed Mood,None,Snack,Brown stock is suitable for a general diet and supports neutral mood.
Vegetable stock,Vegan,Balanced Mood,None,Lunch,Vegetable stock is suitable for a vegan diet and supports balanced mood.
Chicken stock,Keto,Happy,None,Snack,Chicken stock is suitable for a keto diet and supports neutral mood.
Clear tomato soup (Tamatar ka soup),"Vegan, Vegetarian",Happy,None,Dinner,Clear tomato soup (Tamatar ka soup) is suitable for a general diet and supports neutral mood.
Lentil soup,"Vegan, Vegetarian",Happy,None,Lunch,Lentil soup is suitable for a general diet and supports neutral mood.
Chicken consomme (Clear chicken soup),Keto,Craving,None,Lunch,Chicken consomme (Clear chicken soup) is suitable for a keto diet and supports neutral mood.
Cream of tomato soup,"Keto, Vegan, Vegetarian",Craving,None,Breakfast,Cream of tomato soup is suitable for a general diet and supports neutral mood.
Cream of green peas soup,"Keto, Vegan, Vegetarian",Craving,None,Breakfast,Cream of green peas soup is suitable for a general diet and supports neutral mood.
Cream of spinach soup,"Keto, Vegan, Vegetarian",Depressed Mood,None,Snack,Cream of spinach soup is suitable for a general diet and supports neutral mood.
Cream of mixed vegetable soup,Vegan,Balanced Mood,None,Dinner,Cream of mixed vegetable soup is suitable for a vegan diet and supports balanced mood.
Cream of mushroom soup,"Keto, Vegan, Vegetarian",Stressed,None,Lunch,Cream of mushroom soup is suitable for a general diet and supports neutral mood.
Chicken sweet corn soup,Keto,Craving,None,Lunch,Chicken sweet corn soup is suitable for a keto diet and supports neutral mood.
Minestrone soup,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Minestrone soup is suitable for a general diet and supports neutral mood.
Egg drop soup,Keto,Happy,Eggs,Snack,Egg drop soup is suitable for a keto diet and supports neutral mood.
Chinese cabbage and meat ball soup,Paleo,Stressed,None,Breakfast,Chinese cabbage and meat ball soup is suitable for a general diet and supports neutral mood.
French onion soup,"Vegan, Vegetarian",Craving,None,Dinner,French onion soup is suitable for a general diet and supports neutral mood.
Hot and sour soup,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Hot and sour soup is suitable for a general diet and supports neutral mood.
Talaumein soup,"Vegan, Vegetarian",Stressed,None,Snack,Talaumein soup is suitable for a general diet and supports neutral mood.
Cold cucumber soup (Thanda kheere ka soup),"Vegan, Vegetarian",Happy,None,Dinner,Cold cucumber soup (Thanda kheere ka soup) is suitable for a general diet and supports happy.
Cold summer garden soup,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Cold summer garden soup is suitable for a general diet and supports neutral mood.
Chapati/Roti,"Vegan, Vegetarian","Balanced Mood, Craving",Gluten,"Lunch, Dinner","Chapati/Roti is suitable for a general diet and supports balanced mood, neutral mood."
Plain parantha/paratha,"Vegan, Vegetarian",Craving,Gluten,Breakfast,Plain parantha/paratha is suitable for a general diet and supports neutral mood.
Potato parantha/paratha (Aloo ka parantha/paratha),Vegetarian,Craving,Gluten,Breakfast,Potato parantha/paratha (Aloo ka parantha/paratha) is suitable for a vegetarian diet and supports neutral mood.
Radish parantha/paratha (Mooli ka parantha/paratha),"Vegan, Vegetarian",Craving,Gluten,Breakfast,Radish parantha/paratha (Mooli ka parantha/paratha) is suitable for a general diet and supports neutral mood.
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),"Vegan, Vegetarian",Happy,Gluten,Breakfast,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha) is suitable for a general diet and supports neutral mood.
Dal parantha/paratha,"Vegan, Vegetarian","Balanced Mood, Stressed",Gluten,"Breakfast, Lunch, Dinner","Dal parantha/paratha is suitable for a vegan, vegetarian diet and supports balanced mood, neutral mood."
Sprouted moong parantha/paratha,"Vegan, Vegetarian",Happy,Gluten,Breakfast,Sprouted moong parantha/paratha is suitable for a general diet and supports neutral mood.
Pea parantha/paratha (Matar ka parantha/paratha),"Vegan, Vegetarian",Energetic & Calm,Gluten,Breakfast,Pea parantha/paratha (Matar ka parantha/paratha) is suitable for a general diet and supports neutral mood.
Keema parantha/paratha,"Vegan, Vegetarian",Craving,Gluten,Breakfast,Keema parantha/paratha is suitable for a general diet and supports neutral mood.
Paneer parantha/paratha,"Keto, Vegetarian",Craving,"Gluten, Lactose / Dairy",Breakfast,"Paneer parantha/paratha is suitable for a keto, vegetarian diet and supports neutral mood."
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),"Vegan, Vegetarian",Energetic & Calm,Gluten,Breakfast,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha) is suitable for a general diet and supports neutral mood.
Poori,"Vegan, Vegetarian",Stressed,None,Breakfast,Poori is suitable for a general diet and supports neutral mood.
Spinach poori (Palak poori),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Spinach poori (Palak poori) is suitable for a general diet and supports neutral mood.
Methi poori,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Methi poori is suitable for a general diet and supports neutral mood.
Dal stuffed poori,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Dal stuffed poori is suitable for a vegan, vegetarian diet and supports balanced mood."
Potato stuffed poori (Aloo ki poori),Vegetarian,Stressed,None,Breakfast,Potato stuffed poori (Aloo ki poori) is suitable for a vegetarian diet and supports neutral mood.
Tandoori parantha/paratha,"Vegan, Vegetarian",Depressed Mood,Gluten,Breakfast,Tandoori parantha/paratha is suitable for a general diet and supports neutral mood.
Boiled rice (Uble chawal),Vegan,Balanced Mood,None,Lunch,Boiled rice (Uble chawal) is suitable for a vegan diet and supports balanced mood.
Plain pulao,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Plain pulao is suitable for a general diet and supports neutral mood.
Mixed vegetable pulao,Vegan,Balanced Mood,None,Breakfast,Mixed vegetable pulao is suitable for a vegan diet and supports balanced mood.
Mushroom pulao,"Vegan, Vegetarian",Stressed,None,Snack,Mushroom pulao is suitable for a general diet and supports neutral mood.
Sprouted moong pulao,"Vegan, Vegetarian",Craving,None,Breakfast,Sprouted moong pulao is suitable for a general diet and supports neutral mood.
Paneer pulao,"Keto, Vegetarian",Happy,Lactose / Dairy,Lunch,"Paneer pulao is suitable for a keto, vegetarian diet and supports neutral mood."
Peanut pulao ,"Vegan, Vegetarian",Depressed Mood,Nuts,Breakfast,Peanut pulao  is suitable for a general diet and supports neutral mood.
Navratan pulao,"Vegan, Vegetarian",Happy,None,Breakfast,Navratan pulao is suitable for a general diet and supports neutral mood.
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),"Vegan, Vegetarian",Stressed,None,Snack,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao) is suitable for a general diet and supports neutral mood.
Mutton biryani/biriyani,Keto,Happy,None,Lunch,Mutton biryani/biriyani is suitable for a keto diet and supports neutral mood.
Vegetable biryani/biriyani,Vegan,Balanced Mood,None,Lunch,Vegetable biryani/biriyani is suitable for a vegan diet and supports balanced mood.
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Vegan,"Energetic & Calm, Balanced Mood",None,Lunch,"Lemon rice (Pulihora, Elumichai sadam, Chitranna) is suitable for a vegan diet and supports energetic & calm, balanced mood."
Sweet rice (Meethe chawal),Vegan,Balanced Mood,None,Lunch,Sweet rice (Meethe chawal) is suitable for a vegan diet and supports balanced mood.
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),"Vegan, Vegetarian","Depressed Mood, Balanced Mood",Lactose / Dairy,Lunch,"Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam) is suitable for a vegan, vegetarian diet and supports depressed mood, balanced mood."
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Vegan,Balanced Mood,None,Lunch,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna) is suitable for a vegan diet and supports balanced mood.
Spanish rice,Vegan,Balanced Mood,None,Lunch,Spanish rice is suitable for a vegan diet and supports balanced mood.
Chinese fried rice,Vegan,Balanced Mood,None,Lunch,Chinese fried rice is suitable for a vegan diet and supports balanced mood.
Macroni cheese pie,Vegetarian,Craving,Lactose / Dairy,Dinner,Macroni cheese pie is suitable for a vegetarian diet and supports neutral mood.
Vegetable chowmein,Vegan,Balanced Mood,None,Breakfast,Vegetable chowmein is suitable for a vegan diet and supports balanced mood.
Chicken chowmein,Keto,Depressed Mood,None,Breakfast,Chicken chowmein is suitable for a keto diet and supports neutral mood.
Cheese noodle ring,Vegetarian,Happy,Lactose / Dairy,Breakfast,Cheese noodle ring is suitable for a vegetarian diet and supports neutral mood.
Spaghetti and cheese balls in tomato sauce,Vegetarian,Energetic & Calm,Lactose / Dairy,Breakfast,Spaghetti and cheese balls in tomato sauce is suitable for a vegetarian diet and supports neutral mood.
Penne platter,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Penne platter is suitable for a general diet and supports neutral mood.
Pasta hot pot,"Vegan, Vegetarian",Happy,None,Snack,Pasta hot pot is suitable for a general diet and supports neutral mood.
Chicken lasagne,Keto,Energetic & Calm,None,Dinner,Chicken lasagne is suitable for a keto diet and supports neutral mood.
Fettuccine with spinach sauce,"Vegan, Vegetarian",Depressed Mood,None,Snack,Fettuccine with spinach sauce is suitable for a general diet and supports neutral mood.
Naan,"Vegan, Vegetarian",Craving,None,Lunch,Naan is suitable for a general diet and supports neutral mood.
Bhatura,"Vegan, Vegetarian",Stressed,None,Breakfast,Bhatura is suitable for a general diet and supports neutral mood.
Idli,"Vegan, Vegetarian",Happy,None,Breakfast,Idli is suitable for a general diet and supports neutral mood.
Masala dosa,"Vegan, Vegetarian",Craving,None,Breakfast,Masala dosa is suitable for a general diet and supports neutral mood.
Semolina dosa (Suji/Rava dosa),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Semolina dosa (Suji/Rava dosa) is suitable for a general diet and supports neutral mood.
Onion tomato uttapam,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Onion tomato uttapam is suitable for a general diet and supports neutral mood.
Paneer kaathi roll,"Keto, Vegetarian",Happy,Lactose / Dairy,Dinner,"Paneer kaathi roll is suitable for a keto, vegetarian diet and supports neutral mood."
Makki ki roti,"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner",Makki ki roti is suitable for a general diet and supports balanced mood.
Washed moong dal (Dhuli moong ki dal),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Washed moong dal (Dhuli moong ki dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Washed urad dal (Dhuli urad ki dal),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Washed urad dal (Dhuli urad ki dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Split bengal gram with bottle gourd (Channa dal with ghiya/lauki) is suitable for a vegan, vegetarian diet and supports balanced mood."
Dry washed urad,"Vegan, Vegetarian",Craving,None,Breakfast,Dry washed urad is suitable for a general diet and supports neutral mood.
Mixed dal,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Mixed dal is suitable for a vegan, vegetarian diet and supports balanced mood."
Whole moong (Moong ki dal),"Vegan, Vegetarian, Whole30",Balanced Mood,None,"Lunch, Dinner","Whole moong (Moong ki dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Whole masoor (Masoor ki dal),"Vegan, Vegetarian, Whole30",Balanced Mood,None,"Lunch, Dinner","Whole masoor (Masoor ki dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Whole moth (Moth ki dal),"Vegan, Vegetarian, Whole30",Balanced Mood,None,"Lunch, Dinner","Whole moth (Moth ki dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Whole urad (Urad ki dal),"Vegan, Vegetarian, Whole30",Balanced Mood,None,"Lunch, Dinner","Whole urad (Urad ki dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Moti mahal dal (Urad rajmah mix dal),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Moti mahal dal (Urad rajmah mix dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Black channa curry/Bengal gram curry (Kale chane ki curry),"Vegan, Vegetarian",Happy,None,Dinner,Black channa curry/Bengal gram curry (Kale chane ki curry) is suitable for a general diet and supports neutral mood.
Chickpeas curry (Safed channa curry),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Chickpeas curry (Safed channa curry) is suitable for a general diet and supports neutral mood.
Lobia curry,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Lobia curry is suitable for a general diet and supports neutral mood.
Soyabean curry,Vegan,Happy,Soy,Dinner,Soyabean curry is suitable for a vegan diet and supports neutral mood.
Kidney bean curry (Rajmah curry),"Vegan, Vegetarian",Craving,None,Dinner,Kidney bean curry (Rajmah curry) is suitable for a general diet and supports neutral mood.
Sambar,"Vegan, Vegetarian",Balanced Mood,None,Lunch,Sambar is suitable for a general diet and supports balanced mood.
Besan kadhi with pakodies,"Vegan, Vegetarian",Craving,None,Dinner,Besan kadhi with pakodies is suitable for a general diet and supports neutral mood.
Khatta channa,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Khatta channa is suitable for a general diet and supports neutral mood.
Sprouted moong dal chat,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Sprouted moong dal chat is suitable for a vegan, vegetarian diet and supports balanced mood."
Potato cauliflower (Aloo gobhi),Vegetarian,Happy,None,Breakfast,Potato cauliflower (Aloo gobhi) is suitable for a vegetarian diet and supports neutral mood.
Potato capsicum (Shimla mirch aloo),Vegetarian,Happy,None,Breakfast,Potato capsicum (Shimla mirch aloo) is suitable for a vegetarian diet and supports neutral mood.
Cabbage and peas (Pattagobhi aur matar),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Cabbage and peas (Pattagobhi aur matar) is suitable for a general diet and supports neutral mood.
Carrot and fenugreek leaves (Gajar methi),"Vegan, Vegetarian",Craving,None,Dinner,Carrot and fenugreek leaves (Gajar methi) is suitable for a general diet and supports neutral mood.
Potato fenugreek (Aloo methi),Vegetarian,Depressed Mood,None,Dinner,Potato fenugreek (Aloo methi) is suitable for a vegetarian diet and supports neutral mood.
Brinjal bhartha (Baingan ka bhartha),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Brinjal bhartha (Baingan ka bhartha) is suitable for a general diet and supports neutral mood.
Dry potato (Sookhe aloo),Vegetarian,Stressed,None,Breakfast,Dry potato (Sookhe aloo) is suitable for a vegetarian diet and supports neutral mood.
Beans with coconut (Nariyal aur sem/phali; Beans thoran),"Vegan, Vegetarian",Craving,None,Dinner,Beans with coconut (Nariyal aur sem/phali; Beans thoran) is suitable for a general diet and supports neutral mood.
Cauliflower with coconut (Nariyal ke saath phoolgobhi),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Cauliflower with coconut (Nariyal ke saath phoolgobhi) is suitable for a general diet and supports neutral mood.
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar) is suitable for a general diet and supports neutral mood.
Raw turnip with coconut ,Raw Food,Craving,None,Lunch,Raw turnip with coconut  is suitable for a general diet and supports neutral mood.
Raw papaya with coconut (Papaya thoran),Raw Food,Energetic & Calm,None,Lunch,Raw papaya with coconut (Papaya thoran) is suitable for a general diet and supports neutral mood.
Stuffed okra (Bharwa bhindi),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Stuffed okra (Bharwa bhindi) is suitable for a general diet and supports neutral mood.
Stuffed round gourd (Bharwa tinde),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Stuffed round gourd (Bharwa tinde) is suitable for a general diet and supports neutral mood.
Stuffed capsicum (Bharwa shimla mirch),"Vegan, Vegetarian",Craving,None,Dinner,Stuffed capsicum (Bharwa shimla mirch) is suitable for a general diet and supports neutral mood.
Stuffed brinjal (Bharwa baingan),"Vegan, Vegetarian",Stressed,None,Snack,Stuffed brinjal (Bharwa baingan) is suitable for a general diet and supports neutral mood.
Stuffed tomatoes (Bharwa tamatar),"Vegan, Vegetarian",Craving,None,Lunch,Stuffed tomatoes (Bharwa tamatar) is suitable for a general diet and supports neutral mood.
Pea potato curry (Aloo matar),Vegetarian,Craving,None,Dinner,Pea potato curry (Aloo matar) is suitable for a vegetarian diet and supports neutral mood.
Pea paneer curry (Matar paneer),"Keto, Vegetarian",Stressed,Lactose / Dairy,Dinner,"Pea paneer curry (Matar paneer) is suitable for a keto, vegetarian diet and supports neutral mood."
Pea mushroom curry (Matar mushroom),"Vegan, Vegetarian",Craving,None,Dinner,Pea mushroom curry (Matar mushroom) is suitable for a general diet and supports neutral mood.
Pea curry (Matar ki sabzi),Vegan,Craving,None,"Lunch, Dinner",Pea curry (Matar ki sabzi) is suitable for a vegan diet and supports neutral mood.
Pea vadi curry,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Pea vadi curry is suitable for a general diet and supports neutral mood.
Paneer curry,"Keto, Vegetarian",Energetic & Calm,Lactose / Dairy,Dinner,"Paneer curry is suitable for a keto, vegetarian diet and supports neutral mood."
Lotus stem curry (Kamal kakdi curry),"Vegan, Vegetarian",Stressed,None,Dinner,Lotus stem curry (Kamal kakdi curry) is suitable for a general diet and supports neutral mood.
Gravy for kofta,"Vegan, Vegetarian",Happy,None,Snack,Gravy for kofta is suitable for a general diet and supports neutral mood.
Pea kofta curry (Matar kofta curry),"Vegan, Vegetarian",Stressed,None,Dinner,Pea kofta curry (Matar kofta curry) is suitable for a general diet and supports neutral mood.
Spinach kofta curry (Palak kofta curry),"Vegan, Vegetarian",Craving,None,Dinner,Spinach kofta curry (Palak kofta curry) is suitable for a general diet and supports neutral mood.
Paneer kofta curry,"Keto, Vegetarian",Craving,Lactose / Dairy,Dinner,"Paneer kofta curry is suitable for a keto, vegetarian diet and supports neutral mood."
